ticker,marketcap,token_address,graduated_time
JASPER,8411721.664309137,FMhxJLNmbw6UVKN3ANDKhFdgdEgqJiUEDnBgtDW4pump,2024-12-18 03:53:03.000 UTC
MILTON,8342458.103015352,DjeXhmRDijY41fTe8kU1GezbZnGQipo1chKzSBePpump,2024-12-26 22:15:34.000 UTC
high,8306491.952879151,2wimTWA6iCWyYhZYTTcBf2VPAJgRUjs6Y9ky4DNepump,2024-12-26 15:00:03.000 UTC
EXO,8275873.784877798,CG73o5Zh2oGKjG9urvpXQR5S3jiSSzkkBf9GomNTpump,2024-12-26 03:19:31.000 UTC
Colossus,8230563.787957263,EJjuKCfWtK4wUWWjxsmvmXAgrTqgEc8FfKD2Pn6ppump,2024-12-26 17:12:58.000 UTC
relaxboy,8134414.954514089,AprPuvV2RsepnqN1ED3KFVtSDZRLKbChh6y57r8Spump,2024-12-25 15:57:27.000 UTC
ELONCOIN,8055946.813899401,68ezQzEjRkHDCrhLYCpzvoY4ADKct6GdVZKPSMCJpump,2024-12-20 04:16:30.000 UTC
daige,7865062.606677762,A9LfgjnWUxujnpud5E3ssKbnNiS1nxRC8Gh74hJTpump,2024-12-18 16:13:10.000 UTC
<nil>,7739131.723477396,EFwsdVwZpzNRKB6yPzyfLZuERDCxwzUv1cBUXkrhpump,2024-12-27 22:08:44.000 UTC
derp,7674397.153560324,A4dZBMg8ZxxBo21RPHJ8BD8zLKpJGTabTgfQRosSpump,2024-12-23 21:15:22.000 UTC
FB,7656309.643278012,FPN6PMi26z3kSwHzabaNnesw8d9NCnspxW4aafXhpump,2024-12-19 04:42:01.000 UTC
PPCOIN,7471662.745080462,76PsEyML7UV9uiBDWMdG3itRRuupDuRs6nNpjNBpump,2024-12-20 22:55:16.000 UTC
NEO,7298361.930066104,8rksTceLhiyqmB2epLkDWYrsPGWNUH1DhnsbeBJspump,2024-12-26 22:57:23.000 UTC
GOT,7274554.722157831,dQfsAXqtxCVmnXuuByouSPRep8tKPL1YeWTNZLQpump,2024-12-26 19:57:04.000 UTC
Golden Ape,7243093.846103331,HREdVBmGvUvdgvoGeHwYpEQNJRb1oqmScwV5z1dHpump,2024-12-26 16:52:35.000 UTC
MIYA,7187060.712807208,2MSn6r1L81LqG28CUpZETBFPrbbFWLpKa6dRCi43pump,2024-12-27 02:48:23.000 UTC
nick,6923905.502968463,5zy77ie2LVoLaMDy2h4SAvPCo3uc8Zno85YGZDZjpump,2024-12-18 18:14:19.000 UTC
kylia,6690564.146079613,AmpJPHFj9GpFPNZa3zvhCvqQLGy3bAbEizchvjwDpump,2024-12-26 16:38:51.000 UTC
qubitcoin,6667627.766164493,4DSY86oPGtNbQh1pCV9NiXp5tbDu2KDGL2KHzpdopump,2024-12-27 02:51:21.000 UTC
PAPERCLIPS,6616158.165612395,BgV8qdfkjCDLPuDwhDaJGpgJj5XeYJeKwhG7E2bkpump,2024-12-20 01:47:51.000 UTC
RENT,6564739.074215782,6mLysvwKuruGTKATwvY1vgz7xYFL32FXf3dFZabSpump,2024-12-26 23:33:30.000 UTC
LAWN,6502652.801246332,F15Vp1vqJdQ58Usk4T4GDcL7YGegcp1pznHrpt9opump,2024-12-22 04:43:08.000 UTC
SNOWCAT,6498999.972992182,VWAzRZzDMH2YidnCoSYhwHHbfFn95V6u3NC83Jvpump,2024-12-23 21:40:32.000 UTC
Pisscoin,6495891.35425932,5EqRDhtdM5We4a5oyLeebJz7LfsRyXMNC52DMNEhpump,2024-12-20 18:33:03.000 UTC
Coin25519,6489176.210497062,EF8Ked4uLu7TawYwyNrHWySWSSWKS8aCp21g7ezjpump,2024-12-27 21:02:05.000 UTC
EVE,6350238.181317935,6qFgkbgwLsNyyefumvLhdnUk6LfxjaY3yAPQHHZk8CCw,2024-12-24 05:33:17.000 UTC
JUGGS,6339157.799887579,CaXUzx64Ae1PxCXYbt8PMyufaVVFNM1aykyLW4Crpump,2024-12-22 23:26:17.000 UTC
SPNK,6147474.585831548,6YKXjgTkDR8RcrGTstdFKLpGEorDuX9mZv8z5DTnpump,2024-12-27 20:19:23.000 UTC
BCI,6129296.106242389,FHT57nzPTw6FFk3XK2gjFsCvxqYWbh6qM8dEiGK7pump,2024-12-19 03:15:22.000 UTC
Rain,6054593.30779298,3t5uchwrr4jteAjuHxFjbm74xYXLzkBXQwHGQBbmpump,2024-12-24 02:36:03.000 UTC
1$,6049125.993937577,BVY5vx7R4FBdiL3iRGV9ndfcDr38PtmVUtkKTtC6pump,2024-12-25 20:48:14.000 UTC
SHAMAN,5990285.551583312,GF89B1oLiHPoKEEDLXH79f3MVosCxFAePbXvwd35pump,2024-12-20 06:39:41.000 UTC
str,5796282.333370765,4Wbmq5GN3Cx7WQsY828XdQvv389c4onUeRQHcJYSpump,2024-12-27 00:27:53.000 UTC
ADAM,5761191.315348162,CnMm4mcDchmrckNZQH2SNW3bQjPYfgqytvKM2ZGyB6nd,2024-12-24 05:27:04.000 UTC
ICECREAM,5700149.173751324,7CqNkMRgRUhYNdxScLBZiQN5mYSzATizTCjkW2Pupump,2024-12-23 05:44:11.000 UTC
gooseducky,5659693.5080148885,6n5rLYxLMAnnBksbtunqddUnREZMyPxd6prTZNz2pump,2024-12-20 21:52:12.000 UTC
ADAM,5534688.044527976,DMsSc7Q8LX2YQZu95FAYQk998YGQVzPxeJyG8Q3jpump,2024-12-27 00:37:14.000 UTC
TINGUS,5494468.136739585,FFMBajrDXwRwUw4j5D8XDN14Jp1Z72mnxjAoh34pump,2024-12-19 06:29:06.000 UTC
ARCADE,5490857.53203374,23yHThgcFMjGDSEqc7pDNZ83QmnKCFdGUGA97v2Upump,2024-12-21 00:36:03.000 UTC
KRYPTO,5490017.584302321,FHc1Dg4z6hpoB4kBefGZU9spRKBW8gexpjEhMSJ9pump,2024-12-19 14:48:31.000 UTC
SEQ,5443836.19873613,HrLqsTwvMuHZ9epzvmsmtZpmJagisdF39M3mFFycpump,2024-12-27 16:38:37.000 UTC
GOLDFAN,5418460.919628752,2rWEJd3tVjKCyCJK6XVfbCmqsJobjtFDQwZcC2DumQZ6,2024-12-26 23:43:49.000 UTC
COCOA,5336972.88072748,GynBZjKikef481VTAjLKm6wAwYbfUBQmp2Y952Ptpump,2024-12-27 21:30:32.000 UTC
QUBIT,5324791.870601091,8MGGDLtSKi9R9ZoBEDWsrhXetpdWrykRucuVMw7mpump,2024-12-26 20:44:18.000 UTC
OGCHILLGUY,5322769.639064495,FeuGXSzNUjkdL12B8QmyMBP1N48ufh11huJC1raQpump,2024-12-25 14:51:03.000 UTC
SKETCHY,5117858.158814802,88LCjzUzHRWfHZB4ATzsopDi6dTousdo5M6XNpyppump,2024-12-20 00:00:27.000 UTC
SIMSAI,5102404.297110506,u6VCRrFvejYX8cTnc1ptZT8UqVGbPXPmE8kvcGnpump,2024-12-19 14:30:48.000 UTC
UGD,5074155.514135983,FAJnoXZfsyu5DqoGbSxmBkchji68J9ZzpxmgyAcipump,2024-12-19 00:04:26.000 UTC
AGENT,5031556.820988413,2NsS3dnoHXu5BcvPw8QeKdaWxaPoNfaL5XL6zWAGpump,2024-12-26 23:58:00.000 UTC
GAIA,5015978.274657797,14ZPJ3uxscbp4HStBHZUXWndwjrTNiM7uhVN4kvxHump,2024-12-26 17:10:55.000 UTC
QBC,5005790.4053283725,CaZZsvCvYzjM7fvh4BgfJPmKmr2U9rY3e1W6At32pump,2024-12-18 21:58:25.000 UTC
ANDY,4987803.807076122,HftEcsC4Gvb4FCEB7imY8VYLfVKt7XBYEcegzBZtpump,2024-12-21 00:35:32.000 UTC
DICKBUTT,4952506.092150483,3iVZ3gJskdYookkN4dJPAS5B2x47BWPviYsWxbhzpump,2024-12-27 01:09:16.000 UTC
SOLENG,4919987.122413354,2wUGjvMqXusgfzYP3Vj149bSM9MwTPLS4maxkdGfpump,2024-12-20 00:11:03.000 UTC
DOWN,4919795.702093785,FtA6zahq5cUJdwU9zbPy3aovZYyU5sxTrZEPMdbVpump,2024-12-19 02:32:01.000 UTC
PYTHIA,4775167.348743981,DJq2mMF454511FQvqdjfqM7kpqREzZoTDR1QpiBpump,2024-12-26 17:42:01.000 UTC
BLESS,4767176.240953387,36FWitiFoUybrW9ois4EzMjfBYNhW38Vxsv2Pdwfpump,2024-12-23 01:18:18.000 UTC
SEAMANIA,4714767.078654241,9n7PCZLVMG9sEViRwz2cmaR4eM72R3ekWuBdEzZppump,2024-12-24 12:31:54.000 UTC
QTC,4711493.165924588,5JGL6W1e9rcghkTmBEvdcWMTkWajqkrff16oYBFipump,2024-12-27 02:57:30.000 UTC
DRIZZ,4678171.397571961,J94kqNYcpBYre9CPQcicfaHyDKyUqbbAP9XNqUJipump,2024-12-27 01:11:29.000 UTC
ShoeCoin,4657865.80599859,2E3in3u7gvCqsUytEDg8kqBdQPtvyjvBMS6KXzwQpump,2024-12-26 16:46:17.000 UTC
HYBE,4554056.480872415,BZMiJhHsBBzWL93y83xhGkA2J5NxSMw572z4BLxBpump,2024-12-21 23:04:44.000 UTC
DRU,4467978.614519499,MLoYxeB1Xm4BZyuWLaM3K69LvMSm4TSPXWedF9Epump,2024-12-23 19:04:19.000 UTC
MARVIN,4466650.086793406,JcF4Rs8asuUnUSgx8txVdtxLXSdYKBiTn2T63eZpump,2024-12-25 19:52:49.000 UTC
BURNT,4460108.2474905085,burnt3JjFJvvAbKznwrDKxW5U9ZcsKUuCyJVCjKdSVB,2024-12-23 04:09:18.000 UTC
DNA69,4458172.022537675,J5VtEGM6DnBXBAjf9YaMqJCMkkqHG6PxR31U4rqHpump,2024-12-26 16:25:08.000 UTC
sumiko,4424527.782728876,D9EoEz3Avd3W1mTVKCDtKcifuR7v8CeFDcfyedJTpump,2024-12-26 14:07:35.000 UTC
mcs,4391557.458655988,ALHFgnXSenUv17GMdf3dL9gtFW2KKQTz9avpM2Wypump,2024-12-21 02:36:02.000 UTC
HELLCOIN,4363337.233548886,7PLqQHfdxAcCpu1QusuQegaNTeirkVeN18nDEqGkpump,2024-12-26 19:49:09.000 UTC
ZeropAI,4350108.898136663,BAgzJnohH2kjSGkZwkMRWLr2qmYUEdWey6zavkUKpump,2024-12-20 20:16:06.000 UTC
VIRAL,4305056.860660326,HW7D5MyYG4Dz2C98axfjVBeLWpsEnofrqy6ZUwqwpump,2024-12-19 03:01:35.000 UTC
OC,4291740.379168544,85p7gqNgB34fXDwYbtTJTvz6XHEpr1EraXu1hJZnpump,2024-12-21 20:29:05.000 UTC
squAId,4184303.450029185,GfEcXBNQncS9EYQFtv9o2ZdUT7EG3kpsWENtkQMFyBeG,2024-12-27 06:11:20.000 UTC
WLTC,4170095.2872979967,7Rcy3tmzSiuaC4Wa5tcGeT9wVhFiGXoX8vTNxe9spump,2024-12-26 20:26:14.000 UTC
